word,rock,jazz,alternative rock,eletronic,pop,total
plati,1,0,1,1,1,4
terrors,1,0,0,0,0,1
pocket,3,0,2,1,2,8
danse,1,1,1,1,1,5
kurrajong,1,1,0,1,0,3
jaguar,0,1,0,1,1,3
saylarvee,1,0,1,0,1,3
release,2,0,0,2,1,5
fait,0,0,0,1,0,1
alsina,1,0,0,1,0,2
bagad,1,0,1,1,1,4
beso,1,1,0,1,1,4
fair,4,2,0,1,2,9
melodioso,0,0,0,1,0,1
goodnight,2,1,1,1,1,6
fail,1,0,0,0,1,2
hammer,3,0,2,0,4,9
best,7,1,0,4,5,17
sombrero,1,1,0,0,1,3
sista,1,1,1,1,1,5
blancas,0,1,0,0,0,1
wage,1,0,1,1,1,4
nature,2,2,2,1,2,9
zavelow,1,0,1,0,1,3
defiance,1,0,1,1,0,3
carbon,0,1,0,0,0,1
roller,1,0,0,1,1,3
drei,0,0,0,0,2,2
country,6,3,1,2,5,17
questo,1,1,0,2,1,5
lookin,2,2,1,2,2,9
barchetta,1,1,0,1,0,3
salario,0,0,1,1,0,2
gopher,1,1,1,1,1,5
gypsies,1,0,0,0,1,2
canyon,1,1,0,2,0,4
thoneicks,0,0,1,1,1,3
camisa,1,1,0,0,1,3
humming,1,1,0,0,1,3
niyi,1,0,1,1,0,3
matti,1,0,0,1,1,3
union,1,0,0,0,1,2
savin,1,0,1,0,1,3
much,13,6,7,8,11,45
menutha,1,0,0,1,1,3
stadium,1,1,1,1,1,5
privilege,3,0,0,0,0,3
life,41,17,15,25,32,130
electrocution,1,1,1,1,1,5
moneyg,1,0,0,1,1,3
spit,1,0,1,0,0,2
cuna,1,0,1,0,0,2
worker,1,1,1,1,1,5
wish,10,3,6,6,9,34
dave,2,1,1,2,2,8
lift,1,0,1,1,0,3
cheveux,0,0,0,0,1,1
chile,3,2,0,1,1,7
child,6,4,4,8,5,27
spin,2,0,1,1,1,5
wildcat,1,1,0,0,1,3
lurkin,0,0,0,0,1,1
volveras,0,0,0,1,1,2
player,1,1,0,2,1,5
celos,0,0,0,0,1,1
judys,0,1,0,0,0,1
madonna,1,0,1,1,0,3
ogni,1,1,1,1,1,5
pawnshop,1,0,0,0,1,2
portobello,0,1,0,0,0,1
things,10,10,3,9,12,44
split,1,0,1,2,1,5
drugam,0,1,0,0,0,1
agapas,1,0,0,0,1,2
electro,2,1,1,2,2,8
junge,1,1,0,1,1,4
european,1,0,0,1,1,3
gabry,1,1,1,1,1,5
memoria,0,1,0,1,0,2
marches,1,1,0,0,0,2
haggard,1,0,0,0,0,1
tune,1,0,1,0,0,2
charon,1,0,1,0,0,2
acoustics,1,1,1,1,1,5
poobah,1,1,1,0,0,3
eagle,0,0,1,0,0,1
melodica,0,0,0,0,1,1
dikos,1,0,0,1,1,3
autobahn,1,0,0,1,1,3
mopao,1,1,1,1,1,5
denk,0,0,0,0,1,1
givin,1,1,1,0,1,4
quasar,1,1,0,1,1,4
sleepy,2,2,1,2,2,9
praieiro,0,1,0,1,0,2
birmingham,2,0,0,2,2,6
trong,1,1,0,1,1,4
ease,1,0,1,1,1,4
topical,1,0,0,0,1,2
sofrimento,0,1,0,1,1,3
easy,8,3,3,2,6,22
prison,1,1,1,1,1,5
nelly,1,0,0,0,1,2
east,0,4,2,4,0,10
quune,1,0,1,1,0,3
wiht,1,0,0,1,1,3
shadow,3,1,0,0,2,6
depressionista,1,0,0,0,0,1
sleuthing,1,1,0,0,1,3
bridgehouse,1,0,0,0,0,1
bobby,1,0,0,0,0,1
stepn,1,1,1,1,0,4
complexe,0,0,1,1,0,2
steps,1,1,0,1,2,5
prologue,1,1,0,0,1,3
sebastian,0,0,1,0,0,1
surf,3,1,2,3,1,10
right,13,7,4,8,11,43
creek,1,1,1,1,0,4
crowd,1,1,1,1,1,5
people,18,9,6,19,18,70
teppo,1,0,0,1,1,3
warbox,1,1,0,0,1,3
crown,1,1,0,1,0,3
bereit,1,0,1,1,0,3
trombone,2,2,2,0,0,6
creep,1,1,1,1,1,5
snakebit,1,0,0,0,1,2
bottom,6,3,2,3,4,18
marseilles,1,0,1,1,0,3
lluvias,0,1,0,1,0,2
pestilence,1,0,0,0,0,1
losing,6,3,2,2,7,20
chailleach,0,0,0,1,0,1
valium,1,1,0,1,0,3
spaceships,1,0,0,1,1,3
filipino,1,1,0,0,1,3
walrus,1,1,1,1,1,5
dollars,1,0,0,1,0,2
oneness,1,1,1,1,0,4
nirai,1,0,0,0,0,1
nixon,1,1,1,0,1,4
raised,1,1,0,1,1,4
marshall,1,0,0,1,1,3
honeymoon,1,1,0,0,1,3
thankful,1,0,1,0,1,3
inhume,1,0,1,0,0,2
mambo,6,8,0,4,8,26
wrap,1,0,0,1,0,2
support,0,0,0,1,0,1
constantly,2,0,2,0,2,6
jetstream,1,0,0,1,1,3
nova,2,1,1,2,1,7
width,1,1,0,1,1,4
spring,1,1,1,1,0,4
jane,1,0,1,2,1,5
happy,13,6,4,7,13,43
forming,1,1,1,1,0,4
tigers,2,1,1,1,1,6
back,37,21,14,30,29,131
ltimo,0,2,0,0,0,2
verde,1,1,1,1,0,4
verdi,1,0,0,1,0,2
canbales,1,0,0,0,1,2
inside,6,1,4,1,6,18
confessin,1,0,0,0,1,2
peso,1,1,1,0,0,3
mighty,2,2,1,2,2,9
ormhxan,1,0,0,1,1,3
rerub,1,0,0,1,1,3
juvenile,1,0,0,0,1,2
later,1,1,1,0,0,3
disgrace,1,0,1,1,0,3
gemini,1,0,0,1,1,3
jocastae,0,0,0,0,1,1
kandiyohi,1,0,1,0,1,3
telepathyted,1,0,0,0,0,1
floor,3,2,0,4,3,12
republic,1,1,0,2,1,5
sunset,1,1,1,1,2,6
roll,12,3,5,10,10,40
rolo,1,1,0,1,1,4
reggae,6,6,4,5,1,22
aroundcomes,1,1,0,0,1,3
palms,1,0,1,1,1,4
agnus,1,0,1,0,1,3
devon,1,1,0,1,1,4
intent,1,0,0,1,0,2
chiuse,1,0,0,1,0,2
rolling,1,0,1,3,1,6
puss,0,1,0,0,0,1
cootchie,1,0,0,1,0,2
toktok,1,0,1,1,1,4
lingan,1,1,0,1,1,4
push,2,2,1,4,4,13
cincinnati,1,0,0,0,1,2
chain,2,1,1,1,1,6
maldito,0,0,0,1,0,1
chair,3,1,2,0,2,8
venice,1,1,1,0,1,4
dimelo,0,0,0,0,1,1
decir,0,0,0,1,2,3
himalaya,0,1,0,0,0,1
chokechain,1,0,1,1,1,4
exogenesis,1,1,1,1,1,5
dinicolo,1,0,0,1,0,2
llegaste,0,0,0,1,0,1
mouri,1,0,0,0,1,2
minuto,1,1,0,0,1,3
stays,1,0,1,0,1,3
jeru,0,1,0,0,0,1
locked,2,2,2,0,2,8
minute,1,1,1,1,0,4
cintura,1,1,0,1,1,4
knockin,1,0,0,1,1,3
solver,1,0,1,0,0,2
tear,3,4,3,4,3,17
maha,0,0,0,1,0,1
leave,3,2,3,2,4,14
stockade,1,1,0,0,0,2
team,1,1,0,0,0,2
karottensaft,1,0,1,1,0,3
spiritual,1,1,1,1,1,5
attic,2,0,1,2,2,7
cheree,0,1,0,1,1,3
boca,1,2,0,1,1,5
sign,1,1,2,1,1,6
droit,1,0,1,1,1,4
pienso,1,0,0,0,1,2
crescent,1,0,1,1,1,4
corazon,3,1,0,0,4,8
maschera,1,0,0,1,0,2
chimichanga,1,0,1,1,1,4
vengo,1,0,0,0,1,2
freaks,1,0,1,1,1,4
falling,9,8,5,7,8,37
mela,0,0,1,1,0,2
freaky,1,2,1,1,1,6
mele,1,1,1,1,1,5
vankina,1,0,0,1,1,3
honour,0,1,0,1,0,2
funeral,1,0,1,1,1,4
lange,0,1,0,1,0,2
understanding,0,0,0,1,1,2
alone,16,8,10,9,11,54
along,4,2,0,3,5,14
viaje,1,0,0,1,1,3
benson,0,0,0,1,1,2
terrence,1,1,0,0,1,3
cette,1,0,0,0,0,1
brazilian,0,2,0,0,0,2
jammin,1,1,1,1,1,5
studies,0,0,0,2,0,2
love,224,137,97,156,213,827
roorasty,1,0,0,0,0,1
mnchengladbach,1,0,0,1,1,3
bloody,2,1,0,1,1,5
fake,2,1,2,1,2,8
mihodina,1,1,0,1,1,4
bended,0,0,0,0,1,1
working,1,1,0,0,1,3
homesick,1,1,1,1,1,5
wicker,1,0,1,0,1,3
angry,2,1,2,0,1,6
fortway,1,0,1,1,1,4
charlies,0,0,0,0,1,1
wondering,1,1,0,2,1,5
wicked,2,1,1,0,2,6
marbles,1,1,1,0,0,3
claus,3,3,0,2,2,10
reprise,7,4,2,3,6,22
oregon,1,1,1,1,1,5
everywhere,2,0,2,1,2,7
riders,0,1,0,1,0,2
nastrond,1,0,0,1,0,2
originally,5,0,1,0,0,6
pretend,1,0,0,0,1,2
believer,0,0,0,1,0,1
believes,1,0,1,0,1,3
zhan,0,0,0,0,1,1
following,0,0,0,0,1,1
tuviera,1,0,1,0,0,2
ammonite,1,0,1,1,0,3
fingevo,1,0,0,0,1,2
profecias,1,0,1,1,1,4
graduation,1,0,1,0,1,3
allowed,1,0,0,0,0,1
goofus,0,1,0,1,1,3
ngai,0,1,0,0,0,1
savoy,0,1,0,1,1,3
winter,3,3,4,3,3,16
helden,1,1,0,0,1,3
coyotes,1,1,1,0,1,4
kenourgios,0,0,1,0,1,2
immune,1,0,1,1,0,3
elephant,1,0,1,0,0,2
gayas,1,1,1,0,1,4
snaps,1,1,0,0,0,2
nell,1,1,0,1,1,4
laundry,1,0,0,0,1,2
spot,2,2,1,2,2,9
date,4,3,2,3,4,16
such,1,0,2,1,0,4
suck,2,1,0,1,2,6
revealed,0,0,0,1,1,2
natural,2,3,0,2,2,9
belial,1,0,0,0,0,1
truck,1,0,0,1,1,3
wolves,1,0,1,1,2,5
dreamland,1,0,1,1,1,4
blowup,1,1,1,1,1,5
fencibles,0,1,0,1,1,3
pettenami,0,1,0,0,1,2
kong,2,1,1,2,2,8
course,1,0,0,0,0,1
encantadora,0,1,0,0,0,1
kanye,1,3,0,0,1,5
auguri,1,1,0,1,1,4
dropoff,1,0,1,0,0,2
tule,2,0,1,2,2,7
garbage,2,1,0,1,1,5
troubles,2,1,1,1,1,6
guarare,2,2,0,2,2,8
attraction,0,0,1,1,0,2
thump,0,0,0,1,0,1
limbo,1,0,0,0,1,2
smarter,1,1,0,0,1,3
feelin,3,1,1,3,3,11
reckoning,1,0,1,1,0,3
twilight,1,0,0,1,1,3
cachito,1,0,0,0,1,2
hickory,1,1,0,0,1,3
ladysmith,1,1,0,0,1,3
caminar,1,0,0,0,1,2
quarter,3,1,1,2,0,7
quartet,3,1,0,2,0,6
sunriseprayerjoysunset,0,0,0,1,0,1
turtle,1,1,0,1,0,3
square,1,3,1,0,1,6
revised,1,1,0,0,1,3
concertino,1,1,1,0,0,3
remembrance,1,0,0,0,1,2
container,1,1,1,1,1,5
sachmagehtsnoch,1,0,1,1,1,4
pieuvre,1,0,0,1,1,3
facedown,1,1,1,0,1,4
huevos,1,0,0,0,1,2
poema,1,2,0,1,2,6
allstar,1,1,1,1,1,5
plea,1,0,0,1,0,2
seventy,1,0,0,0,1,2
brasil,1,2,0,1,1,5
artistes,1,0,0,1,1,3
punk,3,0,1,1,1,6
dunns,0,0,1,1,0,2
horas,1,0,0,1,2,4
rompan,1,0,0,1,0,2
expolodera,0,0,0,1,1,2
spoken,4,0,2,0,2,8
potter,0,0,0,2,0,2
mucho,1,0,0,1,1,3
spanish,5,3,2,5,3,18
geheimrezept,1,0,1,1,1,4
open,6,3,4,4,4,21
lamour,3,3,0,3,4,13
city,12,6,5,8,8,39
boulevard,0,1,0,1,0,2
bite,2,0,1,2,3,8
guadalupe,1,0,0,0,1,2
realization,1,1,0,1,0,3
streetlight,1,0,0,0,0,1
boppin,1,1,0,0,0,2
southbound,1,1,0,1,1,4
boyfriend,2,0,2,1,1,6
douleur,1,0,0,0,1,2
folly,2,0,0,2,1,5
future,5,0,4,6,3,18
gravedom,1,0,0,1,0,2
sophie,1,1,1,0,1,4
nicer,0,0,0,0,1,1
turned,1,0,1,0,1,3
argument,0,1,0,1,1,3
alley,2,1,0,0,0,3
tastes,1,0,1,1,0,3
contara,1,1,0,0,1,3
horsepower,1,0,0,0,1,2
erinnerung,1,0,1,1,1,4
azucenas,0,1,0,0,0,1
mahafinaritra,1,1,0,1,1,4
wink,1,1,1,1,1,5
warriors,2,0,0,0,1,3
somethings,1,0,0,0,1,2
fertig,0,0,0,1,0,1
note,1,1,0,1,1,4
perdre,2,0,1,1,1,5
nota,1,1,0,0,0,2
take,40,21,16,20,26,123
destroy,4,1,3,2,2,12
blinding,1,0,0,0,0,1
butterfly,1,1,0,0,1,3
buffer,0,1,0,1,1,3
knew,1,0,0,0,3,4
knee,0,0,0,0,2,2
slonie,1,0,1,1,1,4
drive,7,2,3,3,4,19
badd,1,0,1,1,1,4
reinert,1,1,0,1,0,3
dolor,0,1,0,0,1,2
eeshwar,0,1,0,1,0,2
salt,0,0,0,1,0,1
stimulator,0,0,0,1,1,2
olha,0,1,0,0,1,2
saintetrinit,0,1,0,1,0,2
sinclar,1,0,0,0,1,2
peaches,1,1,1,1,1,5
boyz,0,0,0,1,0,1
bright,0,0,0,1,0,1
bitesize,1,1,1,1,1,5
slow,6,4,3,5,3,21
unkind,1,1,1,1,1,5
kalander,0,0,0,0,1,1
cloak,0,0,0,1,0,1
tears,6,5,2,3,7,23
going,17,13,8,10,16,64
actin,1,0,0,0,1,2
cerilene,1,0,1,1,1,4
nikolicaca,0,0,0,0,1,1
robe,1,0,1,1,1,4
caroline,2,1,0,1,2,6
remastered,33,12,15,16,26,102
beatles,0,0,0,0,1,1
wailin,1,1,0,1,1,4
siempre,2,1,0,0,1,4
monde,2,1,1,1,0,5
mondo,1,1,0,1,1,4
prime,0,1,0,0,1,2
phantasmagoria,1,0,1,1,0,3
bomba,2,2,0,2,0,6
pimp,0,0,0,1,0,1
artist,2,0,0,0,2,4
primo,0,0,0,0,1,1
parasitic,1,1,0,1,0,3
borrow,1,0,1,0,1,3
worried,1,1,0,0,1,3
diddy,1,0,0,0,1,2
roger,2,2,2,2,2,10
carolans,1,1,0,0,1,3
bombs,1,0,1,0,1,3
hotness,1,1,1,1,1,5
where,28,13,16,18,24,99
vision,2,0,1,0,1,4
espoirs,1,1,0,0,1,3
isabel,1,0,1,1,1,4
gangster,2,1,2,2,2,9
corre,0,0,2,0,2,4
juazeiro,1,1,0,1,0,3
ojitos,0,1,0,0,1,2
jumped,3,3,0,1,1,8
bootleg,0,1,0,0,0,1
lonley,1,0,0,1,1,3
teeny,1,0,0,1,1,3
clavo,1,1,0,1,1,4
sable,1,1,1,1,1,5
etouffe,0,1,0,0,1,2
jobs,1,0,1,1,0,3
lettin,1,0,0,0,0,1
caah,0,0,0,0,1,1
apparition,1,0,0,0,0,1
screen,2,1,2,2,1,8
concentrate,1,1,1,0,1,4
spare,2,1,1,1,1,6
persiana,1,0,0,0,1,2
spark,1,1,0,1,1,4
openbare,1,1,0,1,1,4
gnrique,1,0,0,1,1,3
mans,3,2,2,1,2,10
kardiogramm,1,0,0,1,1,3
many,5,3,0,0,3,11
jokers,0,1,0,0,0,1
dissidents,1,1,1,1,1,5
mana,0,0,0,1,0,1
manh,2,3,0,1,1,7
expression,0,1,0,0,0,1
mann,2,1,1,2,1,7
recordemos,0,0,0,0,1,1
olingi,0,1,0,0,0,1
stereophonic,0,2,0,2,2,6
anti,0,0,0,1,1,2
electrique,1,0,1,1,1,4
boar,0,1,0,0,0,1
mousetrap,1,1,0,0,1,3
boat,1,0,1,1,1,4
erden,1,0,0,1,0,2
collides,1,0,0,1,1,3
carino,1,1,0,1,1,4
west,5,5,2,3,5,20
vacation,2,0,1,1,2,6
concede,1,0,1,1,1,4
breath,4,0,0,2,3,9
earnshaws,0,0,0,1,0,1
influence,1,1,0,0,0,2
thousand,2,0,0,0,2,4
singalong,1,0,1,0,0,2
chao,0,0,0,0,2,2
vodne,1,1,1,0,1,4
runnin,2,1,1,1,2,7
polly,1,0,1,0,0,2
zearocks,0,0,0,0,1,1
tribal,0,0,0,1,0,1
whatevers,1,0,0,0,1,2
blackhawk,1,1,0,0,1,3
spotlight,1,0,1,0,1,3
binaural,0,3,0,3,3,9
aktensilvestereinlagendein,0,0,0,0,1,1
canon,1,0,1,1,0,3
dubious,1,1,1,1,1,5
twista,0,0,1,0,0,1
nation,2,0,1,1,2,6
desejo,0,1,0,0,0,1
binary,0,0,1,0,0,1
inoculated,1,0,0,0,0,1
fatima,1,1,0,0,1,3
coconuts,1,1,0,1,1,4
breakdown,3,1,2,2,3,11
laula,1,0,0,1,1,3
sickness,1,0,0,0,0,1
bside,1,1,1,1,1,5
halfblood,0,0,0,2,0,2
hummingbird,2,1,1,2,1,7
costa,1,0,0,1,1,3
colorblind,1,0,1,1,0,3
vacant,0,0,0,0,1,1
nothin,4,1,0,2,0,7
genio,1,1,0,1,1,4
dimension,2,0,1,1,2,6
summer,16,6,5,9,11,47
whitfield,1,0,1,1,0,3
being,3,0,3,0,0,6
hades,1,0,1,0,0,2
galopera,1,1,0,0,0,2
inaudible,1,0,0,0,1,2
darien,1,1,0,1,1,4
rover,1,1,0,1,1,4
distancia,0,0,0,0,1,1
bricks,1,0,0,0,0,1
skies,4,0,2,3,4,13
zion,3,2,0,3,2,10
around,24,14,9,17,22,86
shakuhachi,0,1,0,1,0,2
abagui,0,0,1,0,0,1
sodding,1,0,0,1,1,3
dark,10,8,3,7,6,34
traffic,2,0,2,1,1,6
world,46,37,18,38,37,176
dare,0,0,0,1,1,2
stranger,8,3,2,4,2,19
enero,0,0,0,1,1,2
wordless,1,0,0,1,0,2
souvenirs,1,0,2,1,2,6
gimme,3,0,1,1,1,6
enerv,1,1,0,0,1,3
clay,0,1,0,1,0,2
sellotape,0,0,0,1,1,2
inter,0,0,0,0,1,1
clap,1,1,0,1,1,4
junco,1,1,0,1,0,3
pickled,1,1,0,1,0,3
percussio,0,1,0,1,1,3
leng,0,0,0,0,2,2
divine,0,1,0,1,1,3
yesss,0,0,1,1,1,3
revenger,1,0,0,0,1,2
memories,0,0,0,1,0,1
tube,0,0,0,1,0,1
lend,1,0,0,1,1,3
ouro,0,1,0,0,0,1
ritmo,1,0,0,0,1,2
exit,0,0,0,0,1,1
juggernaut,1,0,1,1,0,3
power,4,3,1,5,3,16
sprung,1,0,1,1,1,4
lametavolante,0,0,0,1,1,2
jugglin,0,0,0,1,0,1
travelin,1,1,0,0,1,3
stone,4,1,3,2,3,13
esquilo,1,1,1,0,0,3
volumatic,1,0,1,1,1,4
neighbor,2,0,0,0,0,2
bond,1,1,1,1,0,4
berger,0,0,0,1,0,1
chivalry,1,1,1,1,1,5
burning,4,0,2,1,2,9
reconnu,0,1,0,0,0,1
antidote,1,0,0,0,1,2
hypnotise,1,0,0,1,1,3
charly,1,0,1,1,1,4
cerpin,1,0,1,1,0,3
apologize,0,0,0,1,0,1
mariage,1,1,0,1,1,4
rosso,0,0,0,1,0,1
faheem,0,1,0,1,0,2
braes,1,0,0,0,0,1
tropical,0,1,0,0,0,1
reinvigorated,1,0,0,1,0,2
aguas,1,1,0,1,0,3
cerises,0,1,0,1,1,3
mindless,1,0,0,2,1,4
worshippers,0,0,0,1,0,1
rudeboy,2,1,1,1,1,6
abandonada,0,1,0,0,0,1
bubble,2,1,0,1,2,6
goodman,0,0,0,0,1,1
lang,1,1,1,1,1,5
complete,3,2,1,0,2,8
limelighters,0,1,0,1,1,3
rainin,1,0,0,1,1,3
beginners,0,1,0,0,1,2
mich,6,3,2,5,6,22
with,65,39,17,41,59,221
mica,1,0,0,1,1,3
abused,1,0,1,0,0,2
pull,3,1,0,2,3,9
rush,1,0,1,0,1,3
